School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,State Course Code,State Course Name,Advanced Course Type,Subject,Course Enrollment,Course Completers,Number Tested,Students With Qualifying Score
20242025,,,999,All Districts,,All Schools,999000,,,,,,,Advanced Placement,Advanced Placement,All Enrollments,"56,374","53,778","45,248","29,500"
20242025,,,999,All Districts,,All Schools,999000,,,,,,,Cambridge Advanced International,Cambridge Advanced International,All Enrollments,383,370,167,94
20242025,,,999,All Districts,,All Schools,999000,,,,,,,International Baccalaureate,International Baccalaureate,All Enrollments,"1,686","1,611",512,316
20242025,,,999,All Districts,,All Schools,999000,,,,,,110701,AP Computer Science A,Advanced Placement,Information Technology,454,417,318,195
20242025,,,999,All Districts,,All Schools,999000,,,,,,110711,AP Computer Science Principles,Advanced Placement,Information Technology,"1,294","1,258",927,493
20242025,,,999,All Districts,,All Schools,999000,,,,,,160325,IB Language B - Mandarin Chinese,International Baccalaureate,World Languages,15,14,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,160330,AP Chinese Language and Culture,Advanced Placement,World Languages,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,160425,IB Language B - French,International Baccalaureate,World Languages,22,21,12,5
20242025,,,999,All Districts,,All Schools,999000,,,,,,160430,AP French Language and Culture,Advanced Placement,World Languages,86,82,52,33
20242025,,,999,All Districts,,All Schools,999000,,,,,,160524,IB Language ab initio - German,International Baccalaureate,World Languages,5,5,5,4
20242025,,,999,All Districts,,All Schools,999000,,,,,,160530,AP German Language and Culture,Advanced Placement,World Languages,25,24,14,10
20242025,,,999,All Districts,,All Schools,999000,,,,,,160825,IB Language B - Japanese,International Baccalaureate,World Languages,6,6,5,4
20242025,,,999,All Districts,,All Schools,999000,,,,,,160830,AP Japanese Language and Culture,Advanced Placement,World Languages,13,12,11,7
20242025,,,999,All Districts,,All Schools,999000,,,,,,160925,IB Language B - Latin,International Baccalaureate,World Languages,13,12,3,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,160931,AP Latin,Advanced Placement,World Languages,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,161124,IB Language ab initio - Spanish,International Baccalaureate,World Languages,9,7,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,161125,IB Language B - Spanish,International Baccalaureate,World Languages,74,71,50,33
20242025,,,999,All Districts,,All Schools,999000,,,,,,161130,AP Spanish Language and Culture,Advanced Placement,World Languages,501,477,383,291
20242025,,,999,All Districts,,All Schools,999000,,,,,,161131,AP Spanish Literature and Culture,Advanced Placement,World Languages,84,79,56,37
20242025,,,999,All Districts,,All Schools,999000,,,,,,230110,CAI General Paper - 8004,Cambridge Advanced International,English/Language Arts,70,69,48,43
20242025,,,999,All Districts,,All Schools,999000,,,,,,230113,CAI English Language - 9093,Cambridge Advanced International,English/Language Arts,56,56,41,22
20242025,,,999,All Districts,,All Schools,999000,,,,,,230116,CAI Literature in English - 9695,Cambridge Advanced International,English/Language Arts,40,39,23,5
20242025,,,999,All Districts,,All Schools,999000,,,,,,230164,IB Language A: literature,International Baccalaureate,English/Language Arts,472,442,42,40
20242025,,,999,All Districts,,All Schools,999000,,,,,,230165,IB Language A: language and literature,International Baccalaureate,English/Language Arts,325,305,72,67
20242025,,,999,All Districts,,All Schools,999000,,,,,,230166,AP Language and Composition,Advanced Placement,English/Language Arts,"7,408","7,111","6,084","4,274"
20242025,,,999,All Districts,,All Schools,999000,,,,,,230167,AP Literature and Composition,Advanced Placement,English/Language Arts,"3,699","3,539","2,934","2,197"
20242025,,,999,All Districts,,All Schools,999000,,,,,,230168,IB Theory of Knowledge,International Baccalaureate,English/Language Arts,52,51,24,24
20242025,,,999,All Districts,,All Schools,999000,,,,,,230170,AP Seminar,Advanced Placement,English/Language Arts,"2,410","2,339","2,078","1,766"
20242025,,,999,All Districts,,All Schools,999000,,,,,,230171,AP Research,Advanced Placement,English/Language Arts,400,378,340,302
20242025,,,999,All Districts,,All Schools,999000,,,,,,270507,IB Mathematics: analysis and approaches,International Baccalaureate,Mathematics,147,144,36,10
20242025,,,999,All Districts,,All Schools,999000,,,,,,270508,IB Mathematics: applications and interpretations,International Baccalaureate,Mathematics,202,199,76,26
20242025,,,999,All Districts,,All Schools,999000,,,,,,270510,AP Precalculus,Advanced Placement,Mathematics,"1,859","1,770","1,601","1,273"
20242025,,,999,All Districts,,All Schools,999000,,,,,,270511,CAI Math 1 with Statistics - 9231,Cambridge Advanced International,Mathematics,54,51,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,270513,AP Calculus AB,Advanced Placement,Mathematics,"2,118","2,001","1,738",924
20242025,,,999,All Districts,,All Schools,999000,,,,,,270514,AP Calculus BC,Advanced Placement,Mathematics,758,750,709,489
20242025,,,999,All Districts,,All Schools,999000,,,,,,270604,AP Statistics,Advanced Placement,Mathematics,"1,816","1,752","1,589",888
20242025,,,999,All Districts,,All Schools,999000,,,,,,270643,CAI Mathematics - 9709,Cambridge Advanced International,Mathematics,28,25,6,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,302601,CAI Biology - 9700,Cambridge Advanced International,Science,51,51,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,302644,IB Biology,International Baccalaureate,Science,112,109,42,10
20242025,,,999,All Districts,,All Schools,999000,,,,,,302646,AP Biology,Advanced Placement,Science,"2,996","2,853","2,509","1,386"
20242025,,,999,All Districts,,All Schools,999000,,,,,,304524,IB Chemistry,International Baccalaureate,Science,53,53,33,12
20242025,,,999,All Districts,,All Schools,999000,,,,,,304526,AP Chemistry,Advanced Placement,Science,"1,269","1,219","1,032",619
20242025,,,999,All Districts,,All Schools,999000,,,,,,304622,AP Environmental Science,Advanced Placement,Science,"1,693","1,612","1,400",894
20242025,,,999,All Districts,,All Schools,999000,,,,,,304823,IB Physics,International Baccalaureate,Science,8,8,7,6
20242025,,,999,All Districts,,All Schools,999000,,,,,,304825,AP Physics C: Mechanics,Advanced Placement,Science,104,102,89,47
20242025,,,999,All Districts,,All Schools,999000,,,,,,304826,AP Physics C: Electricity & Magnetism,Advanced Placement,Science,53,53,38,26
20242025,,,999,All Districts,,All Schools,999000,,,,,,304828,AP Physics 1,Advanced Placement,Science,"1,149","1,091",896,522
20242025,,,999,All Districts,,All Schools,999000,,,,,,304829,AP Physics 2,Advanced Placement,Science,67,65,11,5
20242025,,,999,All Districts,,All Schools,999000,,,,,,450605,AP Macroeconomics,Advanced Placement,Social Studies,302,295,236,170
20242025,,,999,All Districts,,All Schools,999000,,,,,,450606,AP Microeconomics,Advanced Placement,Social Studies,212,210,166,104
20242025,,,999,All Districts,,All Schools,999000,,,,,,450712,AP Human Geography,Advanced Placement,Social Studies,"4,798","4,484","4,078","2,372"
20242025,,,999,All Districts,,All Schools,999000,,,,,,450814,AP U.S. History,Advanced Placement,Social Studies,"5,780","5,513","4,598","3,078"
20242025,,,999,All Districts,,All Schools,999000,,,,,,450830,IB History,International Baccalaureate,Social Studies,85,82,40,31
20242025,,,999,All Districts,,All Schools,999000,,,,,,450835,CAI History - 9389,Cambridge Advanced International,Social Studies,58,57,39,13
20242025,,,999,All Districts,,All Schools,999000,,,,,,450844,AP European History,Advanced Placement,Social Studies,"1,104","1,061",975,580
20242025,,,999,All Districts,,All Schools,999000,,,,,,450876,AP World History: Modern,Advanced Placement,Social Studies,"5,121","4,919","4,119","2,293"
20242025,,,999,All Districts,,All Schools,999000,,,,,,450887,AP African American Studies,Advanced Placement,Social Studies,220,199,122,108
20242025,,,999,All Districts,,All Schools,999000,,,,,,451030,AP U.S. Government and Politics,Advanced Placement,Social Studies,"3,170","3,035","2,653","1,947"
20242025,,,999,All Districts,,All Schools,999000,,,,,,451032,AP Comparative Government and Politics,Advanced Placement,Social Studies,66,65,61,56
20242025,,,999,All Districts,,All Schools,999000,,,,,,451038,CAI Global Perspectives & Research - 9239,Cambridge Advanced International,Social Studies,16,14,5,5
20242025,,,999,All Districts,,All Schools,999000,,,,,,459901,CAI Psychology - 9990,Cambridge Advanced International,Social Studies,10,8,5,5
20242025,,,999,All Districts,,All Schools,999000,,,,,,459902,AP Psychology,Advanced Placement,Social Studies,"2,522","2,414","1,835","1,160"
20242025,,,999,All Districts,,All Schools,999000,,,,,,459903,IB Psychology,International Baccalaureate,Social Studies,36,33,25,13
20242025,,,999,All Districts,,All Schools,999000,,,,,,500520,IB Theatre,International Baccalaureate,Visual and Performing Arts,11,11,5,4
20242025,,,999,All Districts,,All Schools,999000,,,,,,500613,IB Film,International Baccalaureate,Visual and Performing Arts,19,18,16,12
20242025,,,999,All Districts,,All Schools,999000,,,,,,500716,AP Drawing,Advanced Placement,Visual and Performing Arts,356,333,110,89
20242025,,,999,All Districts,,All Schools,999000,,,,,,500721,AP Art History,Advanced Placement,Visual and Performing Arts,151,145,114,77
20242025,,,999,All Districts,,All Schools,999000,,,,,,500722,AP 2-D Art and Design,Advanced Placement,Visual and Performing Arts,272,249,166,138
20242025,,,999,All Districts,,All Schools,999000,,,,,,500723,AP 3-D Art and Design,Advanced Placement,Visual and Performing Arts,59,54,39,25
20242025,,,999,All Districts,,All Schools,999000,,,,,,500929,AP Music Theory,Advanced Placement,Visual and Performing Arts,282,273,236,130
20242025,,,999,All Districts,,All Schools,999000,,,,,,500930,IB Music,International Baccalaureate,Visual and Performing Arts,*,*,*,*
