School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Demographic,Advanced Course Type,Course Enrollment,Course Completers,Number Tested,Earned Qualifying Score
20242025,,,999,All Districts,,All Schools,999000,,,,,,All Students,Advanced Placement,"35,687","34,049","28,432","18,448"
20242025,,,999,All Districts,,All Schools,999000,,,,,,All Students,Cambridge Advanced International,185,178,121,79
20242025,,,999,All Districts,,All Schools,999000,,,,,,All Students,International Baccalaureate,850,804,234,162
20242025,,,999,All Districts,,All Schools,999000,,,,,,Female,Advanced Placement,"19,983","19,037","15,954","10,065"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Female,Cambridge Advanced International,100,98,72,50
20242025,,,999,All Districts,,All Schools,999000,,,,,,Female,International Baccalaureate,443,420,130,95
20242025,,,999,All Districts,,All Schools,999000,,,,,,Male,Advanced Placement,"15,704","15,012","12,478","8,383"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Male,Cambridge Advanced International,85,80,49,29
20242025,,,999,All Districts,,All Schools,999000,,,,,,Male,International Baccalaureate,407,384,104,67
20242025,,,999,All Districts,,All Schools,999000,,,,,,African American,Advanced Placement,"2,765","2,557","1,863",873
20242025,,,999,All Districts,,All Schools,999000,,,,,,African American,Cambridge Advanced International,20,19,13,6
20242025,,,999,All Districts,,All Schools,999000,,,,,,African American,International Baccalaureate,153,136,13,8
20242025,,,999,All Districts,,All Schools,999000,,,,,,American Indian or Alaska Native,Advanced Placement,42,40,35,22
20242025,,,999,All Districts,,All Schools,999000,,,,,,American Indian or Alaska Native,Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,American Indian or Alaska Native,International Baccalaureate,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Asian,Advanced Placement,"1,848","1,807","1,657","1,317"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Asian,Cambridge Advanced International,11,11,11,7
20242025,,,999,All Districts,,All Schools,999000,,,,,,Asian,International Baccalaureate,30,29,12,9
20242025,,,999,All Districts,,All Schools,999000,,,,,,Hispanic or Latino,Advanced Placement,"2,832","2,674","1,896","1,085"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Hispanic or Latino,Cambridge Advanced International,30,28,19,15
20242025,,,999,All Districts,,All Schools,999000,,,,,,Hispanic or Latino,International Baccalaureate,72,71,25,19
20242025,,,999,All Districts,,All Schools,999000,,,,,,Native Hawaiian or Pacific Islander,Advanced Placement,61,59,45,33
20242025,,,999,All Districts,,All Schools,999000,,,,,,Native Hawaiian or Pacific Islander,Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Native Hawaiian or Pacific Islander,International Baccalaureate,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Two or More Races,Advanced Placement,"1,714","1,633","1,299",826
20242025,,,999,All Districts,,All Schools,999000,,,,,,Two or More Races,Cambridge Advanced International,7,7,5,3
20242025,,,999,All Districts,,All Schools,999000,,,,,,Two or More Races,International Baccalaureate,43,37,10,4
20242025,,,999,All Districts,,All Schools,999000,,,,,,White (non-Hispanic),Advanced Placement,"26,432","25,281","21,641","14,292"
20242025,,,999,All Districts,,All Schools,999000,,,,,,White (non-Hispanic),Cambridge Advanced International,117,113,73,48
20242025,,,999,All Districts,,All Schools,999000,,,,,,White (non-Hispanic),International Baccalaureate,550,530,174,122
20242025,,,999,All Districts,,All Schools,999000,,,,,,Economically Disadvantaged,Advanced Placement,"12,832","11,973","9,038","4,772"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Economically Disadvantaged,Cambridge Advanced International,96,92,56,34
20242025,,,999,All Districts,,All Schools,999000,,,,,,Economically Disadvantaged,International Baccalaureate,347,321,67,45
20242025,,,999,All Districts,,All Schools,999000,,,,,,Students with Disabilities (IEP),Advanced Placement,394,332,220,92
20242025,,,999,All Districts,,All Schools,999000,,,,,,Students with Disabilities (IEP),Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Students with Disabilities (IEP),International Baccalaureate,42,36,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,English Learner,Advanced Placement,446,401,233,80
20242025,,,999,All Districts,,All Schools,999000,,,,,,English Learner,Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,English Learner,International Baccalaureate,12,10,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Foster Care,Advanced Placement,98,76,53,24
20242025,,,999,All Districts,,All Schools,999000,,,,,,Foster Care,Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Foster Care,International Baccalaureate,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Gifted and Talented,Advanced Placement,"12,808","12,494","11,204","8,941"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Gifted and Talented,Cambridge Advanced International,54,51,39,32
20242025,,,999,All Districts,,All Schools,999000,,,,,,Gifted and Talented,International Baccalaureate,234,230,98,71
20242025,,,999,All Districts,,All Schools,999000,,,,,,Homeless,Advanced Placement,281,263,175,86
20242025,,,999,All Districts,,All Schools,999000,,,,,,Homeless,Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Homeless,International Baccalaureate,19,14,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Migrant,Advanced Placement,48,45,32,17
20242025,,,999,All Districts,,All Schools,999000,,,,,,Migrant,Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Migrant,International Baccalaureate,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Military Dependent,Advanced Placement,188,180,152,103
20242025,,,999,All Districts,,All Schools,999000,,,,,,Military Dependent,Cambridge Advanced International,*,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Military Dependent,International Baccalaureate,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,All Students,Advanced Placement,60,59,50,27
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Female,Advanced Placement,40,39,32,19
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Male,Advanced Placement,20,20,18,8
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,African American,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,American Indian or Alaska Native,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Asian,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Hispanic or Latino,Advanced Placement,3,3,3,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Native Hawaiian or Pacific Islander,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Two or More Races,Advanced Placement,3,3,3,3
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,White (non-Hispanic),Advanced Placement,53,52,43,22
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Economically Disadvantaged,Advanced Placement,33,33,29,15
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Students with Disabilities (IEP),Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,English Learner,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Foster Care,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Gifted and Talented,Advanced Placement,16,16,14,11
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Homeless,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Migrant,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Military Dependent,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,All Students,Advanced Placement,60,59,50,27
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Female,Advanced Placement,40,39,32,19
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Male,Advanced Placement,20,20,18,8
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,African American,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,American Indian or Alaska Native,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Asian,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Hispanic or Latino,Advanced Placement,3,3,3,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Native Hawaiian or Pacific Islander,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Two or More Races,Advanced Placement,3,3,3,3
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,White (non-Hispanic),Advanced Placement,53,52,43,22
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Economically Disadvantaged,Advanced Placement,33,33,29,15
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Students with Disabilities (IEP),Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,English Learner,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Foster Care,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Gifted and Talented,Advanced Placement,16,16,14,11
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Homeless,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Migrant,Advanced Placement,*,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Military Dependent,Advanced Placement,*,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,All Students,Advanced Placement,160,154,104,25
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Female,Advanced Placement,97,93,56,13
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Male,Advanced Placement,63,61,48,12
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,African American,Advanced Placement,*,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,American Indian or Alaska Native,Advanced Placement,*,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Asian,Advanced Placement,*,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Hispanic or Latino,Advanced Placement,15,14,9,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Native Hawaiian or Pacific Islander,Advanced Placement,*,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Two or More Races,Advanced Placement,7,6,6,*
