School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Advanced Course Type,Demographic,Course Enrollment,Course Completers,Students With Qualifying Score
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,All Students,"52,170","48,729","46,828"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Female,"29,457","27,645","26,714"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Male,"22,713","21,084","20,114"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,African American,"3,786","3,425","3,194"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,American Indian or Alaska Native,63,55,53
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Asian,"1,231","1,183","1,162"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Hispanic or Latino,"3,918","3,616","3,454"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Native Hawaiian or Pacific Islander,70,66,65
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Two or More Races,"2,235","2,036","1,912"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,White (non-Hispanic),"40,879","38,357","36,996"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Economically Disadvantaged,"22,735","20,638","19,411"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Students with Disabilities (IEP),"2,148","1,841","1,669"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,English Learner,"1,110",971,911
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Foster Care,266,199,176
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Gifted and Talented,"12,609","12,153","11,919"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Homeless,958,844,746
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Migrant,98,90,88
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Military Dependent,297,285,275
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,All Students,234,229,223
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Female,131,129,128
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Male,103,100,95
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,African American,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,American Indian or Alaska Native,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Asian,3,3,3
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Hispanic or Latino,12,12,12
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Native Hawaiian or Pacific Islander,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Two or More Races,10,10,9
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,White (non-Hispanic),207,202,197
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Economically Disadvantaged,134,131,127
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Students with Disabilities (IEP),7,6,6
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,English Learner,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Foster Care,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Gifted and Talented,43,43,41
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Homeless,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Migrant,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Military Dependent,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,All Students,234,229,223
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Female,131,129,128
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Male,103,100,95
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,African American,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,American Indian or Alaska Native,*,*,*
